Year,MC_mean_width,MC_q25_width,MC_q50_width,MC_q75_width,POST_mean_width,POST_q25_width,POST_q50_width,POST_q75_width,Reduction_mean_%
2000,69.59953404248637,64.86893083628416,69.23462369232226,73.36704694344473,82.15135232885346,71.027735772879,80.89455183273054,90.56794628175578,-18.034342411981918
2001,38.04015706999123,34.3393838253063,36.99308835903173,40.29961377026956,45.924545106646704,38.48100322894771,42.97778346849384,50.16056075681257,-20.72648654459428
2002,60.661907365448315,53.03367182295443,58.67326285713659,66.98233227869554,71.85796400762563,59.035735968746394,69.14574430348137,82.57895619614041,-18.456486332892897
2003,66.6926051426016,57.298067842064285,64.31498740084555,75.30781585037448,78.36912637810438,64.09461349173407,76.8947204581213,91.90135999795194,-17.50796990241268
2004,51.94320271743676,45.50318430457884,50.89464786554089,57.87650476646712,61.37809016417273,51.232803412397004,58.78384825786833,70.29465612133025,-18.163853888754524
2005,47.32040390617976,40.25841643804495,45.898078732043075,53.33336473980998,56.179375315123984,45.804221505393826,53.9250487481188,67.22419988659044,-18.72125061845913
2006,42.99979094355575,38.058946627131945,42.456753172711615,46.91755757051578,51.386413196218975,43.5237691482472,48.56918936693957,57.72447332799419,-19.503867504078887
2007,51.25890819514352,43.768536060276574,49.90899866095975,56.52741594776455,60.753636209827434,50.199811382300794,56.377173483359286,69.23504534555536,-18.52307891252021
2008,31.55101191090375,28.59720127983661,30.899963089562675,33.65469242457033,38.50604542795873,32.141230489456575,36.328464818359976,42.669704934336266,-22.04377322887119
2009,69.37130317437347,63.30527353659127,69.39881979458158,73.99570619019015,81.3838908037271,69.73196517476586,80.29144544107507,90.03273369885791,-17.316364374988492
2010,52.72269064461877,47.59553515995407,51.702791086705815,57.5416767387144,62.50883246948749,52.357751346720846,60.75313698610653,71.29886791616559,-18.561537177288123
2011,41.936487955884076,37.12277863934412,41.13279205262208,45.750577798948115,50.28085427080843,42.26649001650924,47.231320172228166,56.08116692794431,-19.897627869317947
2012,46.08392612699377,41.459989063589944,45.363669319661085,49.97731099824995,55.061133650435806,47.10057981455117,51.667468214798305,61.33122939433602,-19.480127406467695
2013,58.50815055503496,52.67888833978216,56.921405238166244,62.07149060916956,69.00030534039375,55.84297527925173,68.63808313714344,78.00334645000771,-17.93280882376942
2014,63.80647664387879,57.44870620516534,62.45939736702513,68.74260021553039,75.29376907741029,61.583176851090954,75.69484134084405,84.9945540821354,-18.003332949480978
2015,80.20887463079194,72.42803728017688,78.44290856709915,86.40176443184525,94.45026425704731,77.52829393004453,94.88399360157001,105.58975526087355,-17.755378930085342
2016,52.756676779443886,45.70800209757944,49.501582181388414,57.199202098221406,62.76139431357825,50.07680083994143,59.07550970760121,72.11110869812629,-18.96388882862958
2017,55.83343925608095,50.11422068174937,54.319111282447125,60.66268868401974,66.28305584315282,56.245219100717264,63.700053766400174,74.80058126127659,-18.71569569473117
2018,60.47564067521342,55.18647766253649,59.662580018104336,64.59464794582752,71.57847410372177,62.714562292554376,68.10444538058391,78.92820963064003,-18.359182812358
2019,66.93435235283255,60.859930404554774,65.91542167683338,72.87529368621443,79.1300144365803,66.53706936048792,80.44506340627163,88.21499817795859,-18.220333289338942
