Year,MC_mean_width,MC_q25_width,MC_q50_width,MC_q75_width,POST_mean_width,POST_q25_width,POST_q50_width,POST_q75_width,Reduction_mean_%
1992,64.36801907884399,56.59639342748209,64.46136259615373,71.67834673551415,77.99531110726771,65.64877601935285,76.85701892593718,88.13085078806223,-21.17090478072743
1993,74.17285538102153,66.63893021356704,74.94672950735654,82.69378739419787,90.54301572185369,77.19934496667119,89.65603712208018,101.26746225091456,-22.070284683983665
1994,76.22516623609657,64.36677985603086,75.42868861011226,86.36128677704747,91.5684323658262,73.34141542258828,88.56778723949012,105.93354304484531,-20.1288719819972
1995,45.14636614609525,35.84267838474628,44.39171157636355,53.78875086363651,54.59014029878866,40.98136708363185,52.09179627871151,65.68301354459061,-20.918126881201935
1996,60.34961828554412,51.25171265500278,58.88249489355971,67.37661146337179,72.53503307617471,58.157182337550644,69.37147157266091,84.07950049096812,-20.191370114346242
1997,42.8752138473454,34.030470043965465,41.96603976461216,49.97407989801283,51.906144424728424,39.219571129382416,48.96612165631899,61.67697386964841,-21.063289875441548
1998,60.28464763648474,42.99392402085141,60.001197232737155,74.49893891879617,72.93350406387547,50.53914373376193,70.94697312195018,89.42659646371288,-20.981886638306136
1999,78.55785379794737,64.06292027616823,75.62618600994384,90.81745347528748,94.60133563743345,73.79992866558189,89.87513960850168,111.45857037309736,-20.422505279674617
2000,69.23354813954013,61.42750101040144,67.9476953275908,74.99680375156024,83.23784537247494,70.65149984596385,80.40982030341206,92.74176069241315,-20.22761740407695
2001,42.71194083110013,32.4569338129742,42.252149911260744,50.454101030257476,52.64714532915736,38.589292600003574,49.63059321657977,62.6045859786893,-23.2609530373338
2002,63.93785713259317,50.343177411808625,62.044827515072996,76.25577945009375,77.28387773694988,58.097991345155975,73.29139482098299,93.97325355125855,-20.8734249205111
2003,58.440224432956356,50.211034344959074,58.80986526940412,66.8294293929604,70.47887114772581,57.380955467788525,69.38428952892227,81.41648049083432,-20.59993237804758
2004,52.07009035513491,43.00346165809745,52.25280731342792,61.467284376632946,62.86099299508691,48.74342053559846,60.994442608680856,75.94557878881537,-20.723802410084822
2005,54.78223735909771,45.423727692368004,55.050344369276445,64.65041901152206,66.16747470376096,51.41957870902857,64.54231214574207,79.37967798473993,-20.78271697819092
2006,45.56729389858478,36.649366724765486,45.29462857017751,53.80999843656994,55.48073186537401,42.11318842081414,53.15898856973604,66.41386329540876,-21.755599507075196
2007,49.286609244730975,35.60689056109635,46.768664925205826,60.381209883683056,59.848290314052086,41.32332823689222,54.721511390141586,74.86217827125162,-21.42910869943644
2008,41.31778497269203,33.0313890321483,40.449809820143855,47.91342001432008,51.392001033465036,38.15345381172153,48.0081541801286,58.61551001510446,-24.382275253695383
2009,68.05010378137199,60.24168606399462,67.75006347979277,76.25264518815428,81.67518395563732,68.37896248940169,79.65144591722472,93.48047473906651,-20.022129897168316
2010,62.118049555155764,50.78830918547203,61.09351435745077,72.36609658595981,74.78946694700502,58.06171852155012,72.26737707194053,88.35566526522297,-20.398929912628482
2011,46.17036525564865,34.39523319645315,45.16813394516919,55.45254523244202,56.4837734340724,40.67446919612384,52.96319250646388,68.72161389481008,-22.33772273906962
2012,42.666958713025345,31.830900039558912,41.50734836073809,50.89860791285332,52.55698519341533,36.90063650265938,48.637914272475996,63.29168298373344,-23.179590902900536
2013,62.043542353805,52.50877887137891,61.46422432202708,71.11614279961161,74.63171720209263,59.47807103025636,72.31666767693753,86.86875944433416,-20.28925875396026
2014,61.1574133162073,49.81623460048169,60.921202456595154,71.69523532251937,73.97104301410567,57.55524812706656,71.18741780193557,86.93769828507853,-20.951883022988206
2015,79.29408372683554,69.04489687714974,78.01649836362606,89.00910108689958,95.62963955684978,78.41406184137253,92.34298318932704,107.90674068413429,-20.60122907314028
2016,57.04079352348195,41.483316063237,53.57141683602285,69.02166757919059,69.41033105789109,47.98853156140615,62.964978039904,86.42730630147847,-21.685423309049433
2017,55.83501298504909,46.88072993711393,55.79280710286321,64.83750364625055,67.73304030425848,53.29701128237667,65.02024398282771,79.91831111378818,-21.30925862306883
2018,52.07762496324324,40.119576229738755,50.75937585386947,61.78815349607049,63.36111590064486,47.150747297153146,59.89361436561555,75.89723312329738,-21.666677282929815
2019,76.18858791112606,68.04978338056111,76.1169689816146,83.64945754417445,91.74684622163961,78.18304039207555,89.68894075628901,103.11298938988986,-20.42072013286431
