Year,SSP,Mean_Runoff_m3,Std_Runoff_m3,Mean_Smooth_m3
2044.0,ssp370,9906033237.600004,2398831487.914185,9884640418.239996
2045.0,ssp370,9812352220.000002,1656775816.4918323,9905464944.88
2046.0,ssp370,10045889445.400007,2535629107.162009,9956369834.24
2047.0,ssp370,9955133755.600002,2812405779.9347873,9990862640.039999
2048.0,ssp370,10062440512.599997,614081605.8517132,10114385388.519999
2049.0,ssp370,10078497266.600004,1844501436.6030834,10057724582.839996
2050.0,ssp370,10429965962.399998,2220370874.5596504,10075908689.999996
2051.0,ssp370,9762585416.999998,1415983357.9044785,10000595425.8
2052.0,ssp370,10046054291.400005,1621802412.9526243,10013386234.48
2053.0,ssp370,9685874191.600002,1399228301.2839584,9825504011.16
2054.0,ssp370,10142451310.000004,1273647389.9939952,9875143252.84
2055.0,ssp370,9490554845.8,1373081472.3868635,9823378071.24
2056.0,ssp370,10010781625.399996,1609211641.691671,9929572730.639996
2057.0,ssp370,9787228383.40001,1018470499.6265775,9895843072.599997
2058.0,ssp370,10216847488.599993,1359486305.3875663,9909602114.399994
2059.0,ssp370,9973803019.800003,2174650815.331241,9812825208.999996
2060.0,ssp370,9559350054.799992,1148810414.1112869,9737282861.479994
2061.0,ssp370,9526897098.400002,991386159.9415069,9650767630.399998
2062.0,ssp370,9409516645.800001,1373897833.2613342,9505291657.039995
2063.0,ssp370,9784271333.200003,1784340809.7838597,9443432470.839996
2064.0,ssp370,9246423152.999994,1004647572.0782229,9307567247.159996
2065.0,ssp370,9250054123.800001,1478911600.0331204,9169161099.999994
2066.0,ssp370,8847570980.000002,1022423020.8282195,8996470461.879993
2067.0,ssp370,8717485909.999996,984937175.4712429,8993470497.439997
2068.0,ssp370,8920818142.600004,335617907.3694549,8889643028.199997
2069.0,ssp370,9231423330.800005,966883094.75806,8908932059.159996
2070.0,ssp370,8730916777.600002,726987220.4986888,8955804269.519999
2071.0,ssp370,8944016134.799997,1456775478.232746,8871483322.479996
2072.0,ssp370,8951846961.800013,1117388446.7822711,8769740061.959995
2073.0,ssp370,8499213407.399997,475469454.8695957,8711966911.639994
2074.0,ssp370,8722707028.199999,972621199.5336361,8637746389.879993
2075.0,ssp370,8442051026.0,548339983.7583787,8495495163.519991
2076.0,ssp370,8572913526.000002,762248398.3220426,8448240950.879992
2077.0,ssp370,8240590829.999992,641023848.7406762,8358246699.239992
2078.0,ssp370,8262942344.2,529491739.00817055,8279414489.519994
2079.0,ssp370,8272735770.0,1011909243.1371524,8135542088.479993
2080.0,ssp370,8047889977.400006,657023585.9569985,8128982535.479993
2081.0,ssp370,7853551520.799998,642846424.3660533,8104050586.8799925
2082.0,ssp370,8207793064.999995,811523154.9079769,8071661606.239992
2083.0,ssp370,8138282601.199999,673987112.495609,8111305303.719991
2084.0,ssp370,8110790866.799997,1087694898.5764327,8147255160.759992
2085.0,ssp370,8246108464.800003,715685635.1791105,8143249680.279994
