RGI_ID,Corr_TempBias_MB,Corr_PrcpFac_MB,Mean_MB_Mean,Mean_MB_Std
RGI60-13.44568,-0.026256628720076565,0.9952199042309408,-712.1171042823273,18.613380709469308
RGI60-13.44569,-0.08254507355884667,0.9953406084328108,-607.6274495607341,20.275433556503568
RGI60-13.44570,0.0035514967119943375,0.9944674307259592,-572.1986558705072,19.09853493967001
RGI60-13.44572,-0.15077993182296837,0.9888322984054765,-921.59154026049,13.46770965925965
RGI60-13.44573,0.04638087535186638,0.9945365304165343,-577.4346460153946,18.75709134819007
RGI60-13.44574,-0.3544000674072746,0.9948158976570048,-456.34849470604377,18.222513541656294
RGI60-13.44575,-0.17717283743806303,0.994558889408365,-558.834389133983,14.896208342767979
RGI60-13.44576,-0.18508918323514348,0.9942845403347212,-676.7694142594809,17.16168125782197
RGI60-13.44577,-0.2007760942693426,0.9949012814846733,-458.2719317725629,19.994082610575315
RGI60-13.44578,-0.34898647590477455,0.9917221145026044,-655.5275872105116,16.925819948997038
RGI60-13.44579,0.023486529431790523,0.9961104852730139,-284.4500264163658,23.43292408693114
RGI60-13.44580,-0.36550522560472615,0.9911970605124947,-889.7849503650104,15.016325211437142
RGI60-13.44581,-0.08143467147571741,0.9942478851919273,-677.7558747538619,18.884707034612386
RGI60-13.44582,-0.09895591088067084,0.9944783928741425,-773.0210970053917,17.355690989286675
RGI60-13.44583,-0.12962299003325795,0.9936932505329366,-494.4463156255819,18.803895841045264
RGI60-13.44584,-0.0941379738588527,0.9928458315965063,-514.7477278840621,18.06779109661566
RGI60-13.44585,-0.09718011144459507,0.9938926358098169,-766.356561400821,18.768621126122856
RGI60-13.44586,-0.16206133791272373,0.9902977843945553,-722.1101950878686,15.389537630751017
RGI60-13.44587,-0.15394670533907162,0.995089902368008,-501.84989882228126,19.110941071884504
RGI60-13.44588,-0.004355896911237436,0.9967059548662109,-503.4444661038015,21.652060230681705
RGI60-13.44589,-0.18499252938538283,0.9966315908061687,-180.93210558682412,22.106023985885727
RGI60-13.44590,-0.30268107600868155,0.9959273712929808,-386.13211763145256,24.127370169005157
RGI60-13.44591,-0.05373701245296623,0.9904053083945537,-798.2597598786283,15.268420347253702
