Year,MC_mean_width,MC_q25_width,MC_q50_width,MC_q75_width,POST_mean_width,POST_q25_width,POST_q50_width,POST_q75_width,Reduction_mean_%
2002,26.010945936821685,23.111438655847124,25.734601891326065,28.620539929452065,33.30188154530205,28.95488721514627,32.629117032783654,36.85972559847385,-28.030259361532384
2003,31.687194500017778,26.352914620434923,30.34620700315655,35.0795781734859,40.52173830046782,33.09717658127528,38.69633734460624,45.646507896600085,-27.880485918195763
2004,16.787777053191,14.067740036076726,15.577304637211881,18.004183075341828,21.4347171066404,17.561613977910454,19.913703653384857,23.6958391296998,-27.680496582272873
2005,31.79101116671035,26.987882083467788,30.69235185141344,35.35671392192009,40.71842032187935,34.001399585262426,39.48446390058588,45.89730888182926,-28.08155144343434
2006,19.91742513896314,14.768614966351558,16.95888515870402,20.240564791382724,25.434433392704577,18.60302116404165,21.695214115171552,26.499074564107516,-27.699404994612497
2007,13.239585805613661,11.04640392842947,12.10338720850325,14.021877131883713,16.913648859173016,13.881328816762549,15.606606392642902,18.234134370364835,-27.7505890856514
2008,16.09284967456649,12.822529362014603,14.007029387226567,16.188796143345897,20.55670785913365,16.102186249960468,18.07949658428572,21.24046678148366,-27.738146287544495
2009,11.391137593280726,8.572590002506729,9.332769922405895,10.854141605752119,14.526404597258328,10.654331142263008,12.087278146296637,14.42322422804746,-27.523739207800645
2010,48.02187020242555,43.592830933575144,47.31638617652436,51.504541695554146,61.48240486756042,54.581232295745835,60.04258530304712,66.89129114486184,-28.030009261183885
2011,14.130898220068008,8.834409639192899,11.589877465739661,17.3979374538562,18.042898252736425,11.284938562594249,15.238888716617026,22.355621551236084,-27.6840153523398
2012,22.987211986822395,19.374804705258867,22.773709714720326,25.88648165811466,29.447898168081633,24.596644282582233,28.846922464240663,33.273049489214486,-28.105566629661748
2013,26.49596144696088,20.29862472576172,24.400471387219554,31.566649044089917,33.89942414612837,25.707224692254698,31.669640865757486,40.37387973828283,-27.941853380132375
2014,16.371560983792573,12.772332715470931,14.522340254852345,17.700873639498894,20.92000636495196,16.072984702601758,18.706874407114196,23.14387507854721,-27.782600484223565
2015,16.58043332944226,13.044655462533287,14.535654805674014,17.428826268233067,21.189913493189756,16.425865799433854,18.73678776818315,22.721965469263164,-27.80072192420362
2016,27.78715068886163,23.27139925160633,26.46328469463147,31.267451241917627,35.53161591042777,29.631555353070674,33.79547621662164,40.085834144395044,-27.870670542227273
2017,33.11710235421912,28.719154199305414,31.817610190736445,36.22907397592135,42.383718322746326,35.91605896420738,40.64956672331114,47.1154792160883,-27.981361018275663
2018,34.40134947460676,26.522403071617386,33.63568380709518,41.045241707245324,44.01766052990105,33.59719058706207,42.95771794448525,52.496059148183,-27.953296025178464
2019,21.044132141435263,16.512446067975304,20.847108521975734,24.5505941065833,26.926263975373008,21.129166938113002,26.456187699947208,31.263029008167138,-27.951410846516822
