RGI_ID,Calibration_Method,MB_Geodetic,Temp_Bias,Prcp_Fac,melt_f,reference_period,Calibration_Success,MB_Model
RGI60-13.43473,geodetic_temp_bias,33.099999999999994,-3.441515374434184,6.619400120751748,2.904501948617521,2000-01-01_2020-01-01,True,
RGI60-13.43474,geodetic_temp_bias,-251.3,-3.441515374434184,6.595621521827752,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43475,geodetic_temp_bias,-189.29999999999998,-3.441515374434184,6.619400120751748,4.247747883107007,2000-01-01_2020-01-01,True,
RGI60-13.43476,geodetic_temp_bias,-40.2,-3.441515374434184,6.619400120751748,2.7860799662030176,2000-01-01_2020-01-01,True,
RGI60-13.43477,geodetic_temp_bias,-289.0,-3.441515374434184,6.3651970189294005,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43478,geodetic_temp_bias,281.7,-3.441515374434184,6.619400120751748,2.0506834957808304,2000-01-01_2020-01-01,True,
RGI60-13.43479,geodetic_temp_bias,104.3,5.42606963230061,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43480,geodetic_temp_bias,-204.65888913841167,5.349196462507589,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43481,geodetic_temp_bias,-318.3,0.27303405428024263,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43482,geodetic_temp_bias,-204.65888913841167,4.7122346054389475,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43483,geodetic_temp_bias,-30.099999999999998,-0.1724087712465852,3.371339178036039,8.267258242328317,2000-01-01_2020-01-01,True,
RGI60-13.43484,geodetic_temp_bias,11.4,2.3057375725367475,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43485,geodetic_temp_bias,-223.6,1.2397344110467474,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43486,geodetic_temp_bias,63.4,0.5151638174860111,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43487,geodetic_temp_bias,1196.3999999999999,1.3761400586757853,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43488,geodetic_temp_bias,-1280.8,1.9003077740823195,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43489,geodetic_temp_bias,790.9000000000001,2.859061272042671,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43490,geodetic_temp_bias,152.0,4.237799262288834,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43491,geodetic_temp_bias,366.8,-0.1724087712465852,3.371339178036039,13.108455644359719,2000-01-01_2020-01-01,True,
RGI60-13.43492,geodetic_temp_bias,-204.65888913841167,5.860037049970602,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43493,geodetic_temp_bias,59.2,3.16433411367381,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43494,geodetic_temp_bias,-218.5,-0.1724087712465852,3.371339178036039,16.761374131610545,2000-01-01_2020-01-01,True,
RGI60-13.43495,geodetic_temp_bias,314.7,-0.1724087712465852,3.371339178036039,14.638367987898766,2000-01-01_2020-01-01,True,
RGI60-13.43496,geodetic_temp_bias,171.8,-0.1724087712465852,3.371339178036039,7.992109866847689,2000-01-01_2020-01-01,True,
RGI60-13.43497,geodetic_temp_bias,-0.6,-0.1724087712465852,3.371339178036039,16.744235498020306,2000-01-01_2020-01-01,True,
RGI60-13.43498,geodetic_temp_bias,223.3,-0.1724087712465852,3.7167135387469283,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43499,geodetic_temp_bias,218.0,0.9470370897927481,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43500,geodetic_temp_bias,-377.3,-0.1724087712465852,3.371339178036039,13.076931578287764,2000-01-01_2020-01-01,True,
RGI60-13.43501,geodetic_temp_bias,52.699999999999996,-0.1724087712465852,3.371339178036039,8.296376243130766,2000-01-01_2020-01-01,True,
RGI60-13.43502,geodetic_temp_bias,617.3,0.8669252748756607,3.371339178036039,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43503,geodetic_temp_bias,115.4,-1.3936868587801043,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43504,geodetic_temp_bias,78.60000000000001,-0.6995412951859133,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43505,geodetic_temp_bias,-81.4,-1.7897183216723014,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43506,geodetic_temp_bias,-204.65888913841167,-0.1407769587239078,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43507,geodetic_temp_bias,480.5,-1.7618451411475344,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43508,geodetic_temp_bias,-27.099999999999998,-2.430762975442008,3.5313773898299843,12.204650340791488,2000-01-01_2020-01-01,True,
RGI60-13.43509,geodetic_temp_bias,-145.7,-2.430762975442008,4.120827859072371,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43510,geodetic_temp_bias,-204.65888913841167,-1.0877284073493774,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43511,geodetic_temp_bias,-219.4,-2.430762975442008,3.5313773898299843,5.520399435229648,2000-01-01_2020-01-01,True,
