RGI_ID,Calibration_Method,MB_Geodetic,Temp_Bias,Prcp_Fac,melt_f,reference_period,Calibration_Success
RGI60-13.44236,geodetic_temp_bias,-509.2,-3.575606426365928,4.646567937680415,17.0,2000-01-01_2020-01-01,True
RGI60-13.44237,geodetic_temp_bias,18.4,-3.8324803305325417,4.646567937680415,7.798176409371872,2000-01-01_2020-01-01,True
RGI60-13.44239,geodetic_temp_bias,-855.1999999999999,-3.8324803305325417,4.646567937680415,14.36915179740493,2000-01-01_2020-01-01,True
RGI60-13.44240,geodetic_temp_bias,-1484.9,-3.8324803305325417,4.646567937680415,9.267074999331394,2000-01-01_2020-01-01,True
RGI60-13.44241,geodetic_temp_bias,-657.2,-3.8324803305325417,4.926236887832701,5.0,2000-01-01_2020-01-01,True
RGI60-13.44252,geodetic_temp_bias,-306.4,-5.021704500369032,7.400581259038624,4.806417319421241,2000-01-01_2020-01-01,True
RGI60-13.44253,geodetic_temp_bias,-21.9,-5.021704500369032,7.400581259038624,1.9605514885094395,2000-01-01_2020-01-01,True
RGI60-13.44300,geodetic_temp_bias,-599.6,-5.432737599668588,5.050135532147266,5.202284353623296,2000-01-01_2020-01-01,True
RGI60-13.44301,geodetic_temp_bias,-491.0,-5.432737599668588,5.050135532147266,5.946016782774646,2000-01-01_2020-01-01,True
RGI60-13.44303,geodetic_temp_bias,-566.5,-5.432737599668588,7.575203298220899,4.833502986358318,2000-01-01_2020-01-01,True
RGI60-13.44304,geodetic_temp_bias,-744.9,-5.432737599668588,5.050135532147266,6.860334425081555,2000-01-01_2020-01-01,True
RGI60-13.44305,geodetic_temp_bias,-489.5,-5.432737599668588,7.575203298220899,4.911541131882991,2000-01-01_2020-01-01,True
RGI60-13.44306,geodetic_temp_bias,-815.0,-5.432737599668588,5.5225992229970755,5.0,2000-01-01_2020-01-01,True
RGI60-13.44307,geodetic_temp_bias,-1105.9,-5.021704500369032,7.082486320074369,5.0,2000-01-01_2020-01-01,True
RGI60-13.44308,geodetic_temp_bias,-1299.1999999999998,-5.021704500369032,4.933720839359083,5.275709345032609,2000-01-01_2020-01-01,True
RGI60-13.44309,geodetic_temp_bias,180.79999999999998,-5.495694037399624,7.400581259038624,1.5,2000-01-01_2020-01-01,True
RGI60-13.44310,geodetic_temp_bias,-323.79999999999995,-5.021704500369032,7.400581259038624,2.9467159414232644,2000-01-01_2020-01-01,True
RGI60-13.44311,geodetic_temp_bias,-573.3000000000001,-5.021704500369032,7.400581259038624,4.336863676016925,2000-01-01_2020-01-01,True
RGI60-13.44312,geodetic_temp_bias,-1246.1,-5.021704500369032,7.400581259038624,4.884375828337628,2000-01-01_2020-01-01,True
RGI60-13.44313,geodetic_temp_bias,-67.2,-5.021704500369032,7.400581259038624,3.2737822754456523,2000-01-01_2020-01-01,True
RGI60-13.44314,geodetic_temp_bias,-749.6,-5.021704500369032,7.400581259038624,4.07207753551017,2000-01-01_2020-01-01,True
RGI60-13.44315,geodetic_temp_bias,-447.1,-5.021704500369032,7.400581259038624,3.7032760160995606,2000-01-01_2020-01-01,True
RGI60-13.44316,geodetic_temp_bias,-204.65888913841167,-5.021704500369032,7.400581259038624,1.7718044464693943,2000-01-01_2020-01-01,True
RGI60-13.44317,geodetic_temp_bias,-1411.1,-5.021704500369032,4.933720839359083,5.260687952297181,2000-01-01_2020-01-01,True
RGI60-13.44318,geodetic_temp_bias,-891.5,-5.432737599668588,7.575203298220899,3.4293846685585976,2000-01-01_2020-01-01,True
RGI60-13.44319,geodetic_temp_bias,-643.9,-5.432737599668588,7.575203298220899,3.322280243860547,2000-01-01_2020-01-01,True
RGI60-13.44320,geodetic_temp_bias,-631.4,-5.432737599668588,7.575203298220899,4.029235952288795,2000-01-01_2020-01-01,True
RGI60-13.44321,geodetic_temp_bias,-352.7,-5.432737599668588,7.575203298220899,3.2217892681882354,2000-01-01_2020-01-01,True
RGI60-13.44322,geodetic_temp_bias,-506.6,-5.432737599668588,7.575203298220899,4.8195757407407775,2000-01-01_2020-01-01,True
RGI60-13.44323,geodetic_temp_bias,-684.6,-5.432737599668588,7.021145622485022,5.0,2000-01-01_2020-01-01,True
RGI60-13.44324,geodetic_temp_bias,-501.2,-5.432737599668588,7.472591512452739,5.0,2000-01-01_2020-01-01,True
RGI60-13.44325,geodetic_temp_bias,-483.0,-5.432737599668588,5.893320639520593,5.0,2000-01-01_2020-01-01,True
RGI60-13.44326,geodetic_temp_bias,-245.0,-5.432737599668588,7.575203298220899,3.69529906346338,2000-01-01_2020-01-01,True
RGI60-13.44327,geodetic_temp_bias,-822.3000000000001,-5.432737599668588,5.050135532147266,5.799649477815704,2000-01-01_2020-01-01,True
RGI60-13.44328,geodetic_temp_bias,-382.29999999999995,-5.432737599668588,7.575203298220899,4.415505531041809,2000-01-01_2020-01-01,True
RGI60-13.44329,geodetic_temp_bias,-716.6,-5.432737599668588,5.991567571311835,5.0,2000-01-01_2020-01-01,True
RGI60-13.44330,geodetic_temp_bias,-478.7,-5.432737599668588,5.639885558719128,5.0,2000-01-01_2020-01-01,True
RGI60-13.44331,geodetic_temp_bias,-838.3000000000001,-5.432737599668588,5.050135532147266,5.012799972776989,2000-01-01_2020-01-01,True
RGI60-13.44332,geodetic_temp_bias,-1054.4,-5.432737599668588,6.1589214629052496,5.0,2000-01-01_2020-01-01,True
RGI60-13.44333,geodetic_temp_bias,-597.0,-5.432737599668588,7.575203298220899,3.4990414186080763,2000-01-01_2020-01-01,True
RGI60-13.44334,geodetic_temp_bias,125.5,-3.1798098498306246,6.917928010482764,1.5,2000-01-01_2020-01-01,True
RGI60-13.44335,geodetic_temp_bias,-654.3,-3.1618709232381748,6.917928010482764,2.7477053994474634,2000-01-01_2020-01-01,True
RGI60-13.44336,geodetic_temp_bias,-1043.9,-3.1618709232381748,6.917928010482764,4.4155730503342845,2000-01-01_2020-01-01,True
RGI60-13.44337,geodetic_temp_bias,-530.0,-5.021704500369032,7.400581259038624,4.516218337611809,2000-01-01_2020-01-01,True
RGI60-13.44338,geodetic_temp_bias,-970.1999999999999,-5.021704500369032,7.400581259038624,4.705161421463487,2000-01-01_2020-01-01,True
